region;uf_code;uf_acr;uf_name;muni_code;muni_name;xp;tp;dc3;dcmax;dci;ds3;dsmax;st;inc;dengue_pattern
1;11;RO;Rondonia;1101104;Itapuã do Oeste;13,3;14,0;0,7;2,3;1,3;2,0;25,0;0,4;869,7;Episódico
1;11;RO;Rondonia;1101203;Ministro Andreazza;6,7;25,7;0,0;0,7;0,0;3,0;21,0;0,1;362,8;Episódico/Epidêmico
1;11;RO;Rondonia;1101302;Mirante da Serra;8,3;21,3;0,3;3,7;0,3;1,7;29,7;0,3;584,7;Episódico
1;11;RO;Rondonia;1101401;Monte Negro;35,7;24,0;1,0;6,7;1,7;2,3;9,3;1,7;1460,1;Episódico/Epidêmico
1;11;RO;Rondonia;1101435;Nova União;3,3;32,3;0,0;0,3;0,3;2,7;26,3;0,1;128,7;Episódico/Epidêmico
1;11;RO;Rondonia;1101450;Parecis;11,3;16,3;0,7;3,7;1,0;4,0;9,7;0,2;1355,0;Episódico/Epidêmico
1;11;RO;Rondonia;1101468;Pimenteiras do Oeste;4,3;9,3;0,3;1,3;0,0;1,7;41,0;0,0;829,9;Episódico
1;11;RO;Rondonia;1101476;Primavera de Rondônia;13,7;17,3;0,3;3,0;1,7;3,7;10,3;0,3;2316,0;Episódico/Epidêmico
1;11;RO;Rondonia;1101484;São Felipe D'Oeste;7,7;25,0;0,7;3,0;2,3;2,0;22,7;0,6;1267,9;Episódico/Epidêmico
1;11;RO;Rondonia;1101492;São Francisco do Guaporé;36,3;28,3;1,0;8,7;1,3;3,3;10,0;1,6;1286,3;Episódico/Epidêmico
1;11;RO;Rondonia;1101500;Seringueiras;29,3;22,3;1,0;8,3;1,3;2,7;15,7;1,1;1981,1;Episódico/Epidêmico
1;11;RO;Rondonia;1101559;Teixeirópolis;9,7;21,3;0,0;1,3;1,3;3,0;12,0;0,1;1196,5;Episódico/Epidêmico
1;11;RO;Rondonia;1101609;Theobroma;6,3;19,7;0,3;1,0;0,7;4,3;18,7;0,1;314,2;Episódico/Epidêmico
1;11;RO;Rondonia;1101708;Urupá;6,3;27,3;0,0;0,7;1,0;4,0;15,0;0,1;254,3;Episódico/Epidêmico
1;11;RO;Rondonia;1101757;Vale do Anari;6,0;32,0;0,3;1,7;0,3;3,0;18,7;0,1;373,7;Episódico/Epidêmico
1;11;RO;Rondonia;1101807;Vale do Paraíso;8,3;30,0;0,7;2,3;1,7;3,0;15,0;0,4;944,5;Episódico/Epidêmico
1;12;AC;Acre;1200013;Acrelândia;20,7;19,7;1,0;6,3;0,3;2,7;13,3;0,5;1037,2;Episódico/Epidêmico
1;12;AC;Acre;1200054;Assis Brasil;42,3;20,3;2,3;14,0;2,3;0,7;4,3;1,3;7481,6;Epidêmico
1;12;AC;Acre;1200104;Brasiléia;65,3;16,3;1,3;20,3;2,3;0,7;2,3;5,2;3522,4;Epidêmico
1;12;AC;Acre;1200138;Bujari;25,7;15,7;0,7;6,0;0,0;3,3;19,3;0,5;1348,6;Episódico/Epidêmico
1;12;AC;Acre;1200179;Capixaba;9,3;23,0;0,7;2,0;0,0;3,7;15,3;0,3;628,6;Episódico/Epidêmico
1;12;AC;Acre;1200203;Cruzeiro do Sul;293,7;22,3;1,7;43,3;0,0;0,0;0,7;11,6;5961,7;Epidêmico
1;12;AC;Acre;1200252;Epitaciolândia;6,3;19,0;0,0;0,3;1,3;3,0;17,3;0,2;211,5;Episódico/Epidêmico
1;12;AC;Acre;1200302;Feijó;48,3;18,3;2,7;11,3;0,3;2,7;7,7;1,3;1249,5;Epidêmico
1;12;AC;Acre;1200328;Jordão;0,3;7,3;0,0;0,0;0,0;1,3;45,3;0,0;4,2;Episódico
1;12;AC;Acre;1200336;Mâncio Lima;28,7;21,0;2,0;13,3;1,7;1,7;7,0;1,4;1868,6;Epidêmico
1;12;AC;Acre;1200344;Manoel Urbano;17,3;15,7;0,7;4,7;1,0;3,0;8,0;0,8;1560,5;Episódico/Epidêmico
1;12;AC;Acre;1200351;Marechal Thaumaturgo;35,3;18,7;0,7;10,0;3,7;2,0;12,3;0,8;2154,9;Epidêmico
1;12;AC;Acre;1200385;Plácido de Castro;30,7;18,3;1,0;7,0;1,7;3,7;8,7;1,4;1599,1;Episódico/Epidêmico
1;12;AC;Acre;1200393;Porto Walter;13,3;18,7;0,7;2,3;1,7;2,3;14,0;0,2;948,4;Episódico/Epidêmico
1;12;AC;Acre;1200401;Rio Branco;580,3;19,7;1,7;43,3;0,0;0,0;0,7;43,1;1904,8;Epidêmico
1;12;AC;Acre;1200427;Rodrigues Alves;26,0;24,0;3,0;12,3;1,3;0,7;4,0;0,4;2022,8;Epidêmico
1;12;AC;Acre;1200435;Santa Rosa do Purus;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;12;AC;Acre;1200450;Senador Guiomard;40,3;20,3;0,7;8,7;1,3;2,3;7,0;1,7;1218,8;Episódico/Epidêmico
1;12;AC;Acre;1200500;Sena Madureira;84,7;25,0;2,3;23,3;2,3;0,3;3,7;2,2;2168,2;Epidêmico
1;12;AC;Acre;1200609;Tarauacá;193,7;16,0;1,3;14,3;2,0;1,7;8,0;5,5;4055,9;Epidêmico
1;12;AC;Acre;1200708;Xapuri;41,7;18,7;0,3;8,3;0,3;2,7;5,3;2,1;2041,4;Episódico/Epidêmico
1;12;AC;Acre;1200807;Porto Acre;76,7;21,3;1,3;4,7;0,3;2,3;22,7;0,7;1565,6;Episódico/Epidêmico
1;13;AM;Amazonas;1300029;Alvarães;30,0;33,0;1,3;7,0;0,7;2,3;15,7;0,5;1353,6;Episódico/Epidêmico
1;13;AM;Amazonas;1300060;Amaturá;0,7;6,3;0,0;0,0;0,0;1,7;44,7;0,0;8,9;Episódico
1;13;AM;Amazonas;1300086;Anamã;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1300102;Anori;2,3;26,3;0,0;0,0;0,0;3,3;22,7;0,0;31,4;Episódico/Epidêmico
1;13;AM;Amazonas;1300144;Apuí;1,7;6,0;0,0;0,0;0,0;1,7;44,3;0,0;14,0;Episódico
1;13;AM;Amazonas;1300201;Atalaia do Norte;23,3;26,7;0,3;3,7;0,7;2,3;24,7;0,2;554,6;Episódico/Epidêmico
1;13;AM;Amazonas;1300300;Autazes;0,3;12,7;0,0;0,0;0,0;1,3;46,3;0,0;0,9;Episódico
1;13;AM;Amazonas;1300409;Barcelos;5,7;29,0;0,0;0,7;0,7;3,0;16,3;0,1;139,4;Episódico/Epidêmico
1;13;AM;Amazonas;1300508;Barreirinha;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1300607;Benjamin Constant;142,3;23,7;2,7;7,7;1,0;1,7;18,0;2,2;1510,6;Epidêmico
1;13;AM;Amazonas;1300631;Beruri;3,3;35,0;0,0;0,0;0,0;2,0;29,0;0,1;124,7;Episódico/Epidêmico
1;13;AM;Amazonas;1300680;Boa Vista do Ramos;1,0;10,3;0,0;0,0;0,0;1,3;44,0;0,0;5,4;Episódico
1;13;AM;Amazonas;1300706;Boca do Acre;28,0;9,0;0,7;3,7;1,0;1,3;32,7;0,5;618,4;Episódico
1;13;AM;Amazonas;1300805;Borba;6,0;36,3;0,0;0,7;0,3;2,0;10,7;0,4;163,1;Episódico/Epidêmico
1;13;AM;Amazonas;1300839;Caapiranga;0,3;13,7;0,0;0,0;0,0;1,3;47,3;0,0;2,6;Episódico
1;13;AM;Amazonas;1300904;Canutama;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1301001;Carauari;8,0;24,3;0,0;1,0;1,0;4,0;16,0;0,5;216,4;Episódico/Epidêmico
1;13;AM;Amazonas;1301100;Careiro;0,7;11,3;0,0;0,0;0,0;2,0;41,3;0,0;4,5;Episódico
1;13;AM;Amazonas;1301159;Careiro da Várzea;0,3;10,0;0,0;0,0;0,0;1,3;43,7;0,0;1,1;Episódico
1;13;AM;Amazonas;1301209;Coari;20,7;27,0;1,0;5,7;1,3;3,3;16,7;0,6;166,0;Episódico/Epidêmico
1;13;AM;Amazonas;1301308;Codajás;3,3;26,0;0,0;0,3;0,3;3,7;23,3;0,0;40,7;Episódico/Epidêmico
1;13;AM;Amazonas;1301407;Eirunepé;21,0;14,7;1,0;8,0;0,3;3,0;11,0;0,4;496,8;Episódico/Epidêmico
1;13;AM;Amazonas;1301506;Envira;40,3;27,0;1,3;14,0;2,3;1,7;5,3;0,4;2178,7;Epidêmico
1;13;AM;Amazonas;1301605;Fonte Boa;2,7;20,3;0,0;0,3;0,3;1,7;36,7;0,0;16,9;Episódico
1;13;AM;Amazonas;1301654;Guajará;33,3;22,3;3,3;19,0;1,7;0,7;2,0;2,5;3023,4;Epidêmico
1;13;AM;Amazonas;1301704;Humaitá;74,7;25,3;2,7;17,7;1,3;1,0;5,0;5,3;1740,3;Epidêmico
1;13;AM;Amazonas;1301803;Ipixuna;73,0;22,3;1,7;12,7;2,0;1,7;13,3;2,2;2792,8;Epidêmico
1;13;AM;Amazonas;1301852;Iranduba;39,0;27,3;1,0;14,0;1,3;2,0;12,0;1,4;836,7;Epidêmico
1;13;AM;Amazonas;1301902;Itacoatiara;7,3;28,0;0,3;1,3;0,7;4,3;6,0;0,1;47,7;Episódico/Epidêmico
1;13;AM;Amazonas;1301951;Itamarati;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1302009;Itapiranga;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1302108;Japurá;20,0;19,7;0,7;1,3;0,0;3,0;20,0;0,4;2037,3;Episódico/Epidêmico
1;13;AM;Amazonas;1302207;Juruá;0,3;10,3;0,0;0,0;0,0;1,3;44,0;0,0;2,4;Episódico
1;13;AM;Amazonas;1302306;Jutaí;60,0;29,3;1,7;15,0;1,7;1,3;10,0;0,7;4042,4;Epidêmico
1;13;AM;Amazonas;1302405;Lábrea;69,3;20,0;2,0;8,0;1,3;1,3;10,7;2,5;1012,0;Epidêmico
1;13;AM;Amazonas;1302504;Manacapuru;25,3;28,3;1,3;12,7;2,3;2,7;11,0;1,5;312,7;Epidêmico
1;13;AM;Amazonas;1302553;Manaquiri;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1302603;Manaus;159,3;27,7;1,7;43,3;0,0;0,0;0,7;19,4;167,6;Epidêmico
1;13;AM;Amazonas;1302702;Manicoré;48,0;20,7;2,0;8,3;1,3;1,7;15,3;0,9;576,4;Epidêmico
1;13;AM;Amazonas;1302801;Maraã;6,3;10,3;1,0;3,7;0,0;1,0;41,0;0,1;482,1;Episódico
1;13;AM;Amazonas;1302900;Maués;2,3;30,0;0,0;0,0;0,0;4,7;15,7;0,0;17,1;Episódico/Epidêmico
1;13;AM;Amazonas;1303007;Nhamundá;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1303106;Nova Olinda do Norte;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1303205;Novo Airão;8,0;26,0;0,0;1,0;1,7;2,7;7,3;0,3;367,7;Episódico/Epidêmico
1;13;AM;Amazonas;1303304;Novo Aripuanã;2,3;31,0;0,0;0,0;0,0;3,0;25,7;0,0;31,9;Episódico/Epidêmico
1;13;AM;Amazonas;1303403;Parintins;8,3;23,0;0,3;2,0;2,7;0,7;3,0;0,3;103,4;Epidêmico
1;13;AM;Amazonas;1303502;Pauini;0,7;11,3;0,0;0,0;0,0;2,3;34,3;0,0;8,5;Episódico
1;13;AM;Amazonas;1303536;Presidente Figueiredo;14,3;24,3;1,7;4,0;3,0;0,7;10,3;0,7;454,1;Epidêmico
1;13;AM;Amazonas;1303569;Rio Preto da Eva;5,3;24,3;0,0;0,3;0,3;3,0;16,0;0,1;115,6;Episódico/Epidêmico
1;13;AM;Amazonas;1303601;Santa Isabel do Rio Negro;3,7;29,3;0,0;0,3;0,3;2,3;32,7;0,0;30,9;Episódico/Epidêmico
1;13;AM;Amazonas;1303700;Santo Antônio do Içá;22,7;24,3;1,3;4,0;0,3;2,7;14,0;0,3;631,3;Episódico/Epidêmico
1;13;AM;Amazonas;1303809;São Gabriel da Cachoeira;3,7;22,7;0,0;0,0;0,0;4,0;17,3;0,6;42,6;Episódico/Epidêmico
1;13;AM;Amazonas;1303908;São Paulo de Olivença;43,3;26,3;2,3;10,3;2,7;1,7;7,0;0,8;1201,1;Epidêmico
1;13;AM;Amazonas;1303957;São Sebastião do Uatumã;3,0;7,3;0,0;0,3;0,3;2,7;36,7;0,0;59,6;Episódico
1;13;AM;Amazonas;1304005;Silves;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;13;AM;Amazonas;1304062;Tabatinga;58,0;24,7;2,3;16,0;1,0;1,0;6,0;3,3;913,0;Epidêmico
1;13;AM;Amazonas;1304104;Tapauá;58,7;25,0;1,3;11,3;3,3;1,0;9,0;2,3;2613,9;Epidêmico
1;13;AM;Amazonas;1304203;Tefé;78,3;32,3;1,7;35,7;2,7;0,0;1,0;7,8;2249,8;Epidêmico
1;13;AM;Amazonas;1304237;Tonantins;78,3;21,3;0,7;4,0;1,7;3,0;21,3;0,7;1902,5;Episódico/Epidêmico
1;13;AM;Amazonas;1304260;Uarini;1,0;11,7;0,0;0,0;0,0;2,0;41,0;0,0;14,9;Episódico
1;13;AM;Amazonas;1304302;Urucará;0,3;5,7;0,0;0,0;0,0;1,3;47,0;0,0;2,0;Episódico
1;13;AM;Amazonas;1304401;Urucurituba;0,3;16,3;0,0;0,0;0,0;1,3;50,0;0,0;1,5;Episódico
1;14;RR;Roraima;1400027;Amajari;2,3;16,0;0,0;0,0;0,0;3,0;33,0;0,1;92,3;Episódico
1;14;RR;Roraima;1400050;Alto Alegre;16,3;38,7;0,3;3,0;0,0;3,3;17,3;0,8;627,6;Episódico/Epidêmico
1;14;RR;Roraima;1400100;Boa Vista;33,3;35,3;2,0;26,0;3,7;0,3;1,3;4,9;205,7;Epidêmico
1;14;RR;Roraima;1400159;Bonfim;35,7;36,3;0,7;4,0;2,7;4,3;11,3;0,6;1314,4;Episódico/Epidêmico
1;14;RR;Roraima;1400175;Cantá;18,0;35,7;0,3;2,0;1,3;2,0;25,7;0,3;553,0;Episódico/Epidêmico
1;14;RR;Roraima;1400209;Caracaraí;25,0;30,0;0,3;3,0;0,3;2,0;11,7;0,8;594,4;Episódico/Epidêmico
1;14;RR;Roraima;1400233;Caroebe;10,7;32,7;0,3;2,3;1,7;2,3;11,7;0,3;825,2;Episódico/Epidêmico
1;14;RR;Roraima;1400282;Iracema;15,3;34,7;0,3;4,0;0,3;4,3;10,7;0,5;884,1;Episódico/Epidêmico
1;14;RR;Roraima;1400308;Mucajaí;35,3;34,7;0,3;2,3;0,3;4,0;8,7;0,8;791,2;Episódico/Epidêmico
1;14;RR;Roraima;1400407;Normandia;1,3;26,7;0,0;0,0;0,0;2,0;39,3;0,0;44,3;Episódico
1;14;RR;Roraima;1400456;Pacaraima;12,7;39,3;0,0;0,7;0,7;4,7;17,0;0,1;207,4;Episódico/Epidêmico
1;14;RR;Roraima;1400472;Rorainópolis;13,7;24,0;2,7;4,7;2,0;1,7;6,3;1,8;741,9;Epidêmico
1;14;RR;Roraima;1400506;São João da Baliza;14,7;31,7;1,3;5,3;3,0;2,3;10,7;0,5;2019,8;Epidêmico
1;14;RR;Roraima;1400605;São Luiz;2,7;32,3;0,0;0,0;0,0;1,7;35,7;0,1;70,2;Episódico
1;14;RR;Roraima;1400704;Uiramutã;0,7;32,0;0,0;0,0;0,0;1,7;48,3;0,0;6,8;Episódico
1;15;PA;Para;1500107;Abaetetuba;7,0;32,0;0,0;1,0;0,3;2,3;6,0;0,3;41,3;Episódico/Epidêmico
1;15;PA;Para;1500131;Abel Figueiredo;1,3;8,0;0,0;0,0;0,0;1,7;41,0;0,0;41,5;Episódico
1;15;PA;Para;1500206;Acará;5,7;23,0;0,0;1,0;0,7;2,7;23,7;0,1;75,2;Episódico/Epidêmico
1;15;PA;Para;1500305;Afuá;24,3;16,0;1,0;6,0;0,0;2,3;29,0;0,3;461,4;Episódico
1;15;PA;Para;1500347;Água Azul do Norte;11,0;24,0;0,3;1,3;1,0;3,7;12,7;0,2;198,6;Episódico/Epidêmico
1;15;PA;Para;1500404;Alenquer;10,3;26,7;0,3;4,3;0,0;3,0;20,3;0,4;91,7;Episódico/Epidêmico
1;15;PA;Para;1500503;Almeirim;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;15;PA;Para;1500602;Altamira;33,0;28,3;2,0;16,7;1,7;1,0;3,3;1,8;417,9;Epidêmico
1;15;PA;Para;1500701;Anajás;12,3;24,0;0,0;0,7;0,3;1,7;39,7;0,1;90,2;Episódico
1;15;PA;Para;1500800;Ananindeua;16,0;28,0;1,0;4,0;2,3;2,0;8,0;0,8;26,9;Episódico/Epidêmico
1;15;PA;Para;1500859;Anapu;13,0;16,7;0,3;1,7;2,0;2,7;16,0;0,4;340,8;Episódico/Epidêmico
1;15;PA;Para;1500909;Augusto Corrêa;2,3;35,3;0,0;0,0;0,0;3,7;23,3;0,1;23,8;Episódico/Epidêmico
1;15;PA;Para;1500958;Aurora do Pará;15,3;31,7;0,3;1,7;0,7;3,3;23,0;0,2;182,7;Episódico/Epidêmico
1;15;PA;Para;1501006;Aveiro;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;15;PA;Para;1501105;Bagre;0,7;5,7;0,0;0,0;0,0;1,7;43,7;0,0;3,4;Episódico
1;15;PA;Para;1501204;Baião;2,3;20,7;0,0;0,0;0,0;2,3;25,0;0,0;16,6;Episódico
1;15;PA;Para;1501253;Bannach;5,3;27,7;0,0;0,3;0,3;4,3;14,3;0,1;916,7;Episódico/Epidêmico
1;15;PA;Para;1501303;Barcarena;4,0;37,3;0,0;0,3;0,3;2,0;12,7;0,1;32,2;Episódico/Epidêmico
1;15;PA;Para;1501402;Belém;49,0;32,0;2,0;37,3;0,3;0,7;2,0;4,2;67,0;Epidêmico
1;15;PA;Para;1501451;Belterra;1,7;11,3;0,0;0,0;0,0;4,0;27,0;0,0;65,7;Episódico
1;15;PA;Para;1501501;Benevides;3,3;39,0;0,0;0,0;0,0;4,3;12,3;0,1;53,6;Episódico/Epidêmico
1;15;PA;Para;1501576;Bom Jesus do Tocantins;1,7;22,3;0,0;0,0;0,0;3,0;33,0;0,0;34,3;Episódico
1;15;PA;Para;1501600;Bonito;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;15;PA;Para;1501709;Bragança;4,3;30,0;0,0;0,0;0,0;4,0;16,7;0,1;16,9;Episódico/Epidêmico
1;15;PA;Para;1501725;Brasil Novo;4,0;31,0;0,0;0,0;0,0;4,3;16,7;0,1;133,9;Episódico/Epidêmico
1;15;PA;Para;1501758;Brejo Grande do Araguaia;3,0;24,7;0,0;0,3;0,3;3,0;23,7;0,0;111,4;Episódico/Epidêmico
1;15;PA;Para;1501782;Breu Branco;1,7;7,0;0,0;0,0;0,0;2,3;39,3;0,0;12,5;Episódico
1;15;PA;Para;1501808;Breves;8,3;23,0;0,3;1,0;0,0;2,3;32,0;0,1;18,0;Episódico
1;15;PA;Para;1501907;Bujaru;0,3;11,3;0,0;0,0;0,0;1,3;45,0;0,0;1,2;Episódico
1;15;PA;Para;1501956;Cachoeira do Piriá;0,7;5,7;0,0;0,0;0,0;1,3;47,0;0,0;2,0;Episódico
1;15;PA;Para;1502004;Cachoeira do Arari;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;15;PA;Para;1502103;Cametá;15,7;23,3;1,3;5,7;1,3;2,0;5,7;0,8;153,1;Episódico/Epidêmico
1;15;PA;Para;1502152;Canaã dos Carajás;29,7;29,3;1,0;16,3;1,0;1,7;6,0;1,1;1039,0;Epidêmico
1;15;PA;Para;1502202;Capanema;6,3;29,0;0,0;0,3;0,7;3,7;14,7;0,2;54,6;Episódico/Epidêmico
1;15;PA;Para;1502301;Capitão Poço;3,3;27,3;0,0;0,3;0,7;2,3;33,3;0,1;34,7;Episódico
1;15;PA;Para;1502400;Castanhal;15,0;33,7;1,7;5,0;2,0;0,7;3,3;0,7;102,9;Epidêmico
1;15;PA;Para;1502509;Chaves;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;15;PA;Para;1502608;Colares;1,7;14,0;0,0;0,0;0,0;3,7;25,0;0,0;39,7;Episódico
1;15;PA;Para;1502707;Conceição do Araguaia;103,3;27,0;1,3;10,3;1,3;2,7;7,3;6,6;1506,7;Epidêmico
1;15;PA;Para;1502756;Concórdia do Pará;2,3;22,7;0,0;0,0;0,0;2,7;30,7;0,0;16,5;Episódico
1;15;PA;Para;1502764;Cumaru do Norte;13,0;20,7;1,0;3,0;0,7;3,0;14,7;0,2;700,1;Episódico/Epidêmico
1;15;PA;Para;1502772;Curionópolis;4,0;20,7;0,0;0,7;0,7;2,0;32,0;0,0;64,9;Episódico
1;15;PA;Para;1502806;Curralinho;1,0;11,3;0,0;0,0;0,0;1,3;43,3;0,0;3,0;Episódico
1;15;PA;Para;1502855;Curuá;0,3;9,7;0,0;0,0;0,0;2,0;43,3;0,0;21,4;Episódico
1;15;PA;Para;1502905;Curuçá;1,7;16,0;0,0;0,0;0,0;2,3;31,3;0,0;14,5;Episódico
1;15;PA;Para;1502939;Dom Eliseu;8,7;29,7;0,3;1,3;0,7;3,3;21,7;0,2;70,0;Episódico/Epidêmico
1;15;PA;Para;1502954;Eldorado do Carajás;2,3;16,3;0,0;0,0;0,0;3,7;24,7;0,0;47,6;Episódico
1;15;PA;Para;1503002;Faro;0,0;1,0;0,0;0,0;0,0;1,0;52,0;0,0;0,0;Sem transmissao
1;15;PA;Para;1503044;Floresta do Araguaia;10,7;15,7;0,7;3,7;1,7;2,7;24,0;0,2;484,5;Episódico/Epidêmico
1;15;PA;Para;1503077;Garrafão do Norte;0,3;10,7;0,0;0,0;0,0;1,3;44,3;0,0;1,3;Episódico
